"Date","222 m","318 m","380 m","902 m","1245 m"
2003-02-11,5.526,4.743,4.864,4.001,3.709
2003-02-12,6.023,4.853,4.962,3.982,3.701
2003-02-13,6.049,5.083,4.995,3.97,3.674
2003-02-14,5.599,5.165,4.994,3.966,3.634
2003-02-15,5.441,5.205,5.011,3.961,3.605
2003-02-16,5.549,5.305,5.169,3.959,3.604
2003-02-17,5.792,5.469,5.344,3.96,3.613
2003-02-18,6.208,6.18,6.142,3.941,3.605
2003-02-19,6.742,6.347,6.897,3.898,3.583
2003-02-20,6.949,5.102,6.748,3.864,3.559
2003-02-21,7.162,4.923,6.615,3.827,3.526
2003-02-22,7.354,5.264,6.49,3.785,3.492
2003-02-23,7.565,5.884,6.621,3.731,3.462
2003-02-24,7.546,5.644,6.257,3.67,3.44
2003-02-25,5.444,5.13,5.044,3.696,3.451
2003-02-26,5.701,5.392,5.563,3.701,3.47
2003-02-27,6.477,5.918,6.164,3.686,3.474
2003-02-28,7.004,6.509,6.501,3.665,3.466
2003-03-01,7.36,7.135,6.944,3.683,3.437
2003-03-02,7.669,6.988,7.018,3.7,3.414
2003-03-03,7.897,6.617,6.752,3.73,3.421
2003-03-04,7.265,6.053,5.907,3.763,3.45
2003-03-05,7.14,6.183,6.156,3.791,3.485
2003-03-06,7.555,6.713,6.539,3.804,3.519
2003-03-07,7.878,7.165,6.989,3.81,3.555
2003-03-08,8.095,7.512,7.295,3.864,3.595
2003-03-09,8.254,7.289,7.171,3.939,3.607
2003-03-10,8.463,7.329,7.095,3.996,3.6
2003-03-11,8.709,7.6,7.108,4.037,3.611
2003-03-12,9.03,7.732,7.287,4.05,3.647
2003-03-13,9.153,7.585,7.259,4.078,3.695
2003-03-14,9.32,7.627,7.236,4.104,3.734
2003-03-15,9.561,7.596,7.222,4.13,3.759
2003-03-16,9.558,7.539,7.097,4.176,3.786
2003-03-17,9.536,7.481,7.124,4.215,3.825
2003-03-18,9.612,7.53,7.122,4.246,3.862
